📺央卫频道-IPTV👉,#genre#
CCTV1综合,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV2财经,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV3综艺,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV4中文国际,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV5+体育赛事,http://74.91.26.218:82/live/cctv5p.m3u8
CCTV5体育,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV6电影,http://74.91.26.218:82/live/cctv6hd.m3u8
CCTV7国防军事,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV8电视剧,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV9纪录,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV10科教,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV11戏曲,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV12社会与法,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV13新闻,http://74.91.26.218:82/live/cctv13hd.m3u8
CCTV14少儿,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV15音乐,http://74.91.26.218:82/live/cctv15hd.m3u8
CCTV16奥林匹克,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV17农业农村,http://74.91.26.218:82/live/cctv17hd.m3u8

湖南卫视,http://74.91.26.218:82/live/hnwshd.m3u8
广东卫视,http://74.91.26.218:82/live/gdwshd.m3u8
东方卫视,http://74.91.26.218:82/live/dfwshd.m3u8
浙江卫视,http://74.91.26.218:82/live/zjwshd.m3u8
江苏卫视,http://74.91.26.218:82/live/jswshd.m3u8
深圳卫视,http://74.91.26.218:82/live/szwshd.m3u8

广东体育,http://74.91.26.218:82/live/gdty.m3u8
广东新闻,http://74.91.26.218:82/live/gdxw.m3u8
广东珠江,http://74.91.26.218:82/live/gdzj.m3u8


📺央卫IPTV-四川👉,#genre#
华数影视,http://118.122.144.115:8888/newlive/live/hls/38/live.m3u8
BesTV影视,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8

CCTV1综合,http://118.122.144.115:8888/newlive/live/hls/1/live.m3u8
CCTV2财经,http://118.122.144.115:8888/newlive/live/hls/2/live.m3u8
CCTV3综艺,http://118.122.144.115:8888/newlive/live/hls/3/live.m3u8
CCTV4中文国际,http://118.122.144.115:8888/newlive/live/hls/4/live.m3u8
CCTV5体育,http://118.122.144.115:8888/newlive/live/hls/5/live.m3u8
CCTV5+体育赛事,http://118.122.144.115:8888/newlive/live/hls/16/live.m3u8
CTV6电影,http://118.122.144.115:8888/newlive/live/hls/6/live.m3u8
CCTV7国防军事,http://118.122.144.115:8888/newlive/live/hls/7/live.m3u8
CCTV8电视剧,http://118.122.144.115:8888/newlive/live/hls/8/live.m3u8
CCTV9纪录,http://118.122.144.115:8888/newlive/live/hls/9/live.m3u8
CCTV10科教,http://118.122.144.115:8888/newlive/live/hls/10/live.m3u8
CCTV11戏曲,http://118.122.144.115:8888/newlive/live/hls/11/live.m3u8
CCTV12社会与法,http://118.122.144.115:8888/newlive/live/hls/12/live.m3u8
CCTV13新闻,http://118.122.144.115:8888/newlive/live/hls/13/live.m3u8
CCTV14少儿,http://118.122.144.115:8888/newlive/live/hls/14/live.m3u8
